train_no,train_code,cars,speed,train_type,days_of_week,origin,destination,stops.vidyavihar,stops.kanjur_marg
97369,T71,12,S,AC,NOT_SUN,Mumbai CST,Thane,15:00,15:10
96319,A31,12,S,LOCAL,DAILY,Mumbai CST,Ambernath,15:05,15:15
97099,K75,12,S,LOCAL,DAILY,Mumbai CST,Kalyan,15:09,15:19
97101,PK17,12,S,LOCAL,DAILY,Parel,Kalyan,15:13,15:23
96409,N23,12,S,LOCAL,DAILY,Mumbai CST,Kasara,15:17,15:27
96321,A33,12,S,LOCAL,DAILY,Mumbai CST,Ambernath,15:25,15:35
97103,K77,12,S,LOCAL,DAILY,Mumbai CST,Kalyan,15:29,15:39
97371,T73,12,S,LOCAL,NOT_SUN,Mumbai CST,Thane,15:33,15:43
97105,PK19,12,S,LOCAL,DAILY,Parel,Kalyan,15:37,15:47
96635,TL35,12,S,LOCAL,DAILY,Mumbai CST,Titwala,15:41,15:51
97233,DL23,12,S,LOCAL,DAILY,Mumbai CST,Dombivli,15:45,15:55
97107,K81,12,S,LOCAL,DAILY,Mumbai CST,Kalyan,15:49,15:59
97235,DL25,12,S,AC,NOT_SUN,Mumbai CST,Dombivli,15:55,16:05
97373,T75,12,S,LOCAL,DAILY,Mumbai CST,Thane,15:59,16:09
96517,AN17,12,S,LOCAL,DAILY,Mumbai CST,Asangaon,16:03,16:13
97109,PK21,12,S,LOCAL,DAILY,Parel,Kalyan,16:06,16:16
96637,TL37,12,S,LOCAL,DAILY,Mumbai CST,Titwala,16:11,16:21
97237,DL27,12,S,LOCAL,DAILY,Mumbai CST,Dombivli,16:16,16:26
97375,PT5,12,S,LOCAL,NOT_SUN,Parel,Thane,16:25,16:35
97113,K83,12,S,LOCAL,DAILY,Mumbai CST,Kalyan,16:28,16:38
97239,DL29,12,S,AC,NOT_SUN,Mumbai CST,Dombivli,16:31,16:41
97115,K85,12,S,LOCAL,DAILY,Mumbai CST,Kalyan,16:35,16:45
97377,T77,12,S,LOCAL,NOT_SUN,Mumbai CST,Thane,16:39,16:49
96325,A37,12,S,LOCAL,DAILY,Mumbai CST,Ambernath,16:44,16:54
97379,T79,12,S,LOCAL,DAILY,Mumbai CST,Thane,16:48,16:58
96639,TL39,12,S,LOCAL,DAILY,Mumbai CST,Titwala,16:52,17:02
97117,CK19,12,S,LOCAL,DAILY,Kurla,Kalyan,16:58,17:08
