route,train_count,distance_km,avg_travel_time
malad -> kandivali,19,1.9000000000000001,3.0
kandivali -> borivali,19,2.8,5.842105263157895
goregaon -> malad,19,2.4,4.0
jogeshwari -> ram_mandir,17,1.8,3.0
ram_mandir -> goregaon,17,1.6,2.2941176470588234
dahisar -> mira_road,17,3.4,5.0
mira_road -> bhayandar,17,3.4,5.9411764705882355
andheri -> jogeshwari,17,1.7,3.0
borivali -> dahisar,16,2.4,3.75
mahim_jn -> bandra,15,1.7,4.333333333333333
matunga_road -> mahim_jn,15,1.2,3.0
khar_road -> santa_cruz,15,1.3,2.1333333333333333
santa_cruz -> vile_parle,15,2.1,3.0
vile_parle -> andheri,15,2.2,5.666666666666667
prabhadevi -> dadar,14,1.2,2.0
dadar -> matunga_road,14,1.6,2.0
bandra -> khar_road,14,1.6,3.0714285714285716
lower_parel -> prabhadevi,14,1.3,3.0
mahalakshmi -> lower_parel,13,1.6999999999999997,3.0
grant_road -> mumbai_central,12,0.9,2.0
mumbai_central -> mahalakshmi,12,1.5,3.0
mulund -> thane,12,2.5,4.75
nahur -> mulund,11,1.9,3.0
sion -> kurla,11,2.7,4.090909090909091
dombivli -> thakurli,11,1.4,3.8181818181818183
marine_lines -> charni_road,11,0.8,2.0
thakurli -> kalyan,11,3.7,6.2727272727272725
charni_road -> grant_road,11,1.8,3.0
matunga -> sion,10,2.6,3.0
kanjur_marg -> bhandup,10,1.9,2.9
bhandup -> nahur,10,2.1,3.0
dadar -> matunga,10,1.3,3.2
churchgate -> marine_lines,10,1.0,3.0
kopar -> dombivli,10,1.2,3.5
ulhas_nagar -> ambernath,10,2.6,5.0
vikhroli -> kanjur_marg,10,1.8,3.0
vidyavihar -> ghatkopar,10,1.5,3.0
vithalwadi -> ulhas_nagar,10,1.6,3.0
ghatkopar -> vikhroli,10,3.6,4.1
mumbra -> diva,9,3.4,4.0
parel -> dadar,9,1.2,3.0
diva -> kopar,9,4.4,5.0
kurla -> vidyavihar,9,2.4,3.0
kalyan -> vithalwadi,9,2.4,4.666666666666667
currey_road -> parel,8,1.6,3.0
chinchpokli -> currey_road,8,0.5,2.0
cotton_green -> sewri,8,1.9,3.0
kalva -> mumbra,8,3.7,6.0
dockyard_rd -> reay_road,8,1.1,2.0
thane -> kalva,8,2.4,5.0
reay_road -> cotton_green,8,1.1,2.0
vasai_road -> nalla_sopara,7,4.1,4.857142857142857
sandhurst_road -> byculla,7,2.2,3.0
sandhurst_rd_hr -> dockyard_rd,7,1.2,2.0
naigaon -> vasai_road,7,4.1,5.0
masjid_hr -> sandhurst_rd_hr,7,0.6,3.0
bhayandar -> naigaon,7,4.6,6.0
byculla -> chinchpokli,7,1.5,2.0
ambernath -> badlapur,6,7.400000000000001,7.666666666666667
masjid -> sandhurst_road,6,0.6,2.0
nalla_sopara -> virar,6,4.0,6.833333333333333
mumbai_csmt_hr -> masjid_hr,6,1.2,3.0
mumbai_cst -> masjid,5,1.2,3.0
ambivli -> titwala,5,6.1,7.2
shahad -> ambivli,5,1.7,3.0
badlapur -> vangani,4,10.7,8.25
bhivpuri_road -> karjat,3,6.900000000000001,9.333333333333334
vangani -> shelu,3,4.0,4.0
kelavli -> dolavli,3,0.6,3.0
palasdhari -> kelavli,3,5.2,7.0
neral -> bhivpuri_road,3,6.7,7.0
dolavli -> lowjee,3,3.1,4.0
lowjee -> khopoli,3,2.7000000000000006,6.333333333333333
shelu -> neral,3,4.1,4.0
umbermalli -> kasara,2,7.4,11.5
titwala -> khadavli,2,7.4,7.0
khadavli -> vasind,2,8.0,7.0
karjat -> palasdhari,2,3.0,5.0
atgaon -> thansit,1,6.1,5.0
asangaon -> atgaon,1,9.4,9.0
khardi -> umbermalli,1,6.1,6.0
thansit -> khardi,1,6.0,5.0
vasind -> asangaon,1,6.0,6.0
